# r f_numeric f_exact abs_error
0.079421395718326779 0.073357346117249769 0.073357621397191597 2.7527994182763305e-07
0.080389000171211242 0.074179259763069078 0.074179538661289804 2.7889822072635351e-07
0.081356813080495166 0.074999691513508271 0.074999974032199046 2.8251869077511316e-07
0.082324835537708849 0.075818643660449547 0.075818929801780247 2.8614133069926329e-07
0.083293068622286734 0.076636118477862308 0.076636408243983004 2.8976612069520069e-07
0.084261513402199867 0.07745211822246087 0.077452411615503231 2.9339304236097874e-07
0.085230170934602612 0.078266645134367388 0.078266942156446001 2.9702207861304064e-07
0.086199042266452683 0.07907970143774519 0.079080002090958945 3.0065321375560838e-07
0.087168128435072836 0.079891289341376792 0.079891593627810106 3.0428643331414928e-07
0.088137430468643863 0.080701411039178259 0.080701718960902308 3.0792172404925378e-07
0.089106949386742226 0.081510068710745509 0.081510380269819396 3.1155907388724646e-07
0.090076686200833464 0.082317264521857961 0.08231757972032995 3.1519847198957507e-07
0.091046641914691195 0.083123000624915178 0.083123319464823694 3.1883990851688804e-07
0.092016817524831249 0.08392727915938139 0.0839276016427562 3.2248337480944578e-07
0.092987214020914657 0.084730102252199707 0.084730428381062872 3.2612886316507605e-07
0.093957832386154336 0.085531472018204879 0.085531801794571857 3.2977636697795187e-07
0.09492867359766255 0.08633139056048314 0.086331723986363657 3.3342588051654687e-07
0.09589973862676765 0.0871298599707028 0.087130197048101932 3.3707739913180212e-07
0.096871028439391937 0.087926882329491765 0.087927223060410772 3.4073091900732599e-07
0.09784254399634329 0.088722459706740323 0.088722804093177551 3.4438643722878304e-07
0.098814286253607039 0.089516594161901053 0.089516942205852823 3.4804395177001624e-07
0.099786256162635631 0.090309287744283748 0.090309639447745185 3.5170346143753584e-07
0.10075845467059155 0.091100542493309303 0.091100897858275173 3.5536496587051936e-07
0.10173088272065754 0.09189036043881553 0.091890719467281015 3.5902846548530043e-07
0.10270354125223896 0.092678743601272387 0.092679106295233862 3.6269396147536881e-07
0.10367643120122305 0.093465693992041021 0.093466060353496791 3.66361455769737e-07
0.10464955350017177 0.094251213613576412 0.094251583644527487 3.7003095107457362e-07
0.10562290907853715 0.095035304459646169 0.095035678162096918 3.7370245074830333e-07
0.10659649886289396 0.095817968515560931 0.095818345891519802 3.7737595887099573e-07
0.10757032377710689 0.096599207758349737 0.096599588809829925 3.8105148018885426e-07
0.10854438474251224 0.097379024156945326 0.097379408885965413 3.8472902008646059e-07
0.10951868267812194 0.098157419672385268 0.098157808080969883 3.8840858461453021e-07
0.11049321850079356 0.098934396257983906 0.098934788348164299 3.9209018039276788e-07
0.11146799312537381 0.099709955859481364 0.099710351633296085 3.9577381472089002e-07
0.11244300746483439 0.10048410041518514 0.10048449987468053 3.9945949538433556e-07
0.11341826243043772 0.10125683185613366 0.10125723500336446 4.0314723080692172e-07
0.11439375893191704 0.10202815210626963 0.10202855894329958 4.0683702995369941e-07
0.11536949787758606 0.10279806308255597 0.1027984736114583 4.1052890233095329e-07
0.11634548017446381 0.10356656669510247 0.10356698091796045 4.1422285797232394e-07
0.11732170672839305 0.10433366484728619 0.10433408276619363 4.1791890743880789e-07
0.11829817844420404 0.10509935943590602 0.10509978105296779 4.2161706176324643e-07
0.11927489622576024 0.10586365235124341 0.10586407766857592 4.2531733250583681e-07
0.1202518609761529 0.10662654547723864 0.10662697449697031 4.2901973167086549e-07
0.12122907359775684 0.10738804069155707 0.10738847341582881 4.3272427174834149e-07
0.12220653499235586 0.10814813986570893 0.1081485762966746 4.3643096567236306e-07
0.12318424606121982 0.1089068448651303 0.10890728500495715 4.4013982684887321e-07
0.12416220770524647 0.10966415754931344 0.1096646014001825 4.4385086905851523e-07
0.12514042082498827 0.11042007977184681 0.11042052733595342 4.4756410660928836e-07
0.12611888632081814 0.11117461338056196 0.11117506466011604 4.5127955407286979e-07
0.12709760509295931 0.11192776021757411 0.11192821521480072 4.5499722660380382e-07
0.12807657804159137 0.11267952211938104 0.11267998083652063 4.5871713959255711e-07
0.12905580606693778 0.11342990091694656 0.11343036335625546 4.6243930890144114e-07
0.13003529006931588 0.11417889843575453 0.11417936459950526 4.6616375072583427e-07
0.13101503094924935 0.11492651649591 0.11492698638639169 4.698904816913263e-07
0.13199502960750778 0.11567275691218373 0.11567323053170245 4.7361951871494057e-07
0.13297528694520211 0.11641762149409872 0.11641809884497785 4.7735087913003404e-07
0.13395580386383585 0.11716111204598231 0.11716159313056285 4.8108458053364167e-07
0.13493658126539648 0.11790323036704814 0.11790371518768911 4.8482064096688759e-07
0.13591762005238278 0.1186439782514289 0.1186444668105076 4.8855907869294057e-07
0.13689892112788529 0.11938335748824871 0.11938384978816108 4.9229991236354742e-07
0.13788048539566219 0.12012136986169139 0.12012186590485231 4.9604316092188849e-07
0.13886231376017857 0.1208580171510404 0.12085851693988406 4.9978884365808884e-07
0.13984440712666857 0.12159330113073569 0.1215938046677158 5.0353698011207371e-07
0.14082676640117545 0.1223272235704133 0.12232773085800344 5.0728759014295743e-07
0.14180939249063576 0.12305978623497749 0.12306029727567137 5.1104069388741014e-07
0.14279228630290292 0.12379099088462696 0.12379150568093879 5.1479631182904662e-07
0.14377544874681353 0.12452083927491271 0.12452135782937733 5.1855446461801513e-07
0.14475888073223289 0.12524933315677961 0.12524985547195291 5.2231517330691979e-07
0.14574258317009259 0.12597647427660191 0.12597700035506101 5.2607845910102036e-07
0.14672655697245529 0.12670226437623835 0.12670279422058192 5.2984434356639909e-07
0.14771080305255962 0.12742670519307198 0.12742723880592038 5.3361284840791612e-07
0.14869532232482116 0.12814979846001731 0.12815033584401303 5.3738399571900963e-07
0.14968011570493142 0.12887154590559943 0.12887208706340716 5.411578077318957e-07
0.15066518410986721 0.12959194925396642 0.12959249418827343 5.449343070118573e-07
0.15165052845794447 0.13031101022493435 0.13031155893845059 5.4871351623519971e-07
0.15263614966885483 0.13102873053401903 0.13102928302947747 5.5249545843905068e-07
0.15362204866368756 0.13174511189245688 0.13174566817261374 5.5628015685482701e-07
0.15460822636502297 0.13246015600727745 0.13246071607491236 5.6006763490823452e-07
0.15559468369688173 0.13317386458127076 0.13317442843918698 5.6385791621926806e-07
0.15658142158482663 0.13388623931306518 0.13388680696408994 5.6765102476874496e-07
0.15756844095597139 0.13459728189713752 0.13459785334412208 5.7144698456523813e-07
0.15855574273904216 0.13530699402386073 0.13530756926968066 5.752458199226318e-07
0.15954332786435663 0.13601537737949213 0.1360159564270475 5.7904755537685482e-07
0.16053119726392912 0.13672243364625189 0.13672301649846752 5.8285221563036949e-07
0.16151935187142782 0.13742816450229509 0.13742875116212064 5.8665982555217155e-07
0.16250779262227469 0.1381325716217856 0.13813316209219587 5.9047041026105695e-07
0.16349652045361596 0.13883565667487741 0.13883625095887245 5.9428399504235507e-07
0.16448553630438958 0.13953742132776467 0.13953801942837007 5.981006054034399e-07
0.16547484111533947 0.14023786724269374 0.14023846916296073 6.019202669904633e-07
0.16646443582907167 0.14093699607800453 0.14093760182101017 6.0574300564386618e-07
0.1674543213900358 0.14163480948811885 0.14163541905696622 6.0956884737062289e-07
0.16844449874459488 0.14233130912359093 0.14233192252140936 6.1339781842750796e-07
0.16943496884100895 0.14302649663109704 0.14302711386104214 6.1722994509905149e-07
0.17042573262952429 0.14372037365349899 0.14372099471875299 6.2106525400285051e-07
0.17141679106233756 0.14441294182981959 0.1444135667335914 6.2490377181201318e-07
0.17240814509364355 0.14510420279527675 0.14510483154080214 6.2874552539393669e-07
