# phi u x y
37.0427 1.43899 0.550494 -0.424128
37.1288 1.41458 0.595058 -0.381634
37.2149 1.3873 0.637951 -0.335568
37.3007 1.35737 0.67902 -0.285812
37.3863 1.32502 0.718082 -0.232238
37.4717 1.29053 0.754925 -0.174709
37.5568 1.25415 0.789295 -0.113082
37.6417 1.21616 0.820901 -0.0472135
37.7262 1.17687 0.849401 0.0230346
37.8105 1.13655 0.874404 0.0977903
37.8944 1.09551 0.895458 0.177161
37.9781 1.05405 0.912052 0.261219
38.0613 1.01246 0.923607 0.349994
38.1443 0.971021 0.92948 0.443447
38.2268 0.930029 0.928956 0.541455
38.309 0.889752 0.921259 0.64378
38.3909 0.850453 0.905558 0.750048
38.4723 0.812383 0.880985 0.859707
38.5533 0.775774 0.846656 0.972001
38.634 0.740846 0.801708 1.08593
38.7142 0.707801 0.745345 1.20023
38.794 0.67682 0.676897 1.31332
38.8734 0.648068 0.595888 1.42335
38.9524 0.621689 0.502121 1.52814
39.0311 0.597809 0.395755 1.62529
39.1093 0.576533 0.27739 1.71218
39.1872 0.557949 0.148127 1.78615
39.2647 0.542127 0.00960966 1.84456
39.3419 0.529119 -0.135984 1.88504
39.4189 0.518966 -0.285989 1.90557
39.4956 0.511692 -0.437353 1.90473
39.5722 0.507314 -0.586784 1.8818
39.6486 0.505838 -0.730934 1.83683
39.725 0.507263 -0.866584 1.77068
39.8015 0.51158 -0.990838 1.68499
39.878 0.518775 -1.10127 1.58206
39.9547 0.528825 -1.19606 1.46467
40.0316 0.541699 -1.27401 1.33596
40.1087 0.557354 -1.3346 1.19915
40.1861 0.575735 -1.37792 1.05744
40.2639 0.596773 -1.40458 0.913813
40.342 0.620381 -1.41561 0.770921
40.4205 0.646457 -1.41233 0.63103
40.4994 0.67488 -1.39627 0.495982
40.5787 0.705509 -1.36903 0.367197
40.6583 0.738188 -1.3322 0.245702
40.7384 0.772738 -1.28733 0.132179
40.8188 0.808965 -1.23585 0.0270134
40.8997 0.846657 -1.17906 -0.0696486
40.981 0.885585 -1.11811 -0.157849
41.0626 0.925508 -1.054 -0.23777
41.1446 0.966169 -0.987596 -0.309694
41.2269 1.0073 -0.91962 -0.37397
41.3096 1.04863 -0.850677 -0.430987
41.3927 1.08987 -0.781265 -0.481151
41.4761 1.13073 -0.711788 -0.524872
41.5598 1.17093 -0.64257 -0.562549
41.6438 1.21016 -0.573867 -0.594564
41.7281 1.24815 -0.505879 -0.621277
41.8127 1.28461 -0.43876 -0.643019
41.8976 1.31925 -0.372625 -0.660094
41.9827 1.35182 -0.307561 -0.672778
42.0681 1.38205 -0.243629 -0.681314
42.1537 1.40971 -0.180871 -0.68592
42.2395 1.43457 -0.119319 -0.686784
42.3255 1.45643 -0.058992 -0.68407
42.4116 1.47511 9.66986e-05 -0.677915
42.498 1.49045 0.0579365 -0.668433
42.5844 1.50232 0.114518 -0.655714
42.6709 1.51061 0.169831 -0.63983
42.7576 1.51525 0.223861 -0.62083
42.8442 1.5162 0.276589 -0.598746
42.9309 1.51345 0.32799 -0.57359
43.0176 1.50701 0.378029 -0.545358
43.1043 1.49694 0.426661 -0.514029
43.1909 1.48332 0.473831 -0.479566
43.2774 1.46626 0.519466 -0.441917
43.3638 1.4459 0.563481 -0.401016
43.45 1.42242 0.605769 -0.356782
43.5361 1.396 0.646203 -0.309122
43.622 1.36686 0.684631 -0.257931
43.7077 1.33523 0.720872 -0.203096
43.7931 1.30137 0.754715 -0.144496
43.8783 1.26554 0.785912 -0.082005
43.9633 1.22802 0.814174 -0.0154977
44.0479 1.18909 0.839167 0.0551456
44.1323 1.14906 0.860508 0.130032
44.2163 1.10821 0.877758 0.209249
44.3 1.06685 0.89042 0.292848
44.3834 1.02526 0.897936 0.380839
44.4665 0.983748 0.899682 0.473165
44.5492 0.94259 0.894975 0.569686
44.6315 0.902065 0.883071 0.670156
44.7134 0.862438 0.863177 0.774193
44.795 0.823963 0.834468 0.88125
44.8761 0.78688 0.796109 0.990581
44.9569 0.751412 0.747285 1.10121
45.0372 0.717767 0.687255 1.21191
45.1172 0.686131 0.615396 1.32115
45.1967 0.656677 0.531283 1.42714
45.2759 0.629553 0.434757 1.52777
45.3546 0.604891 0.32601 1.62073
45.4329 0.582803 0.205661 1.70348
45.5109 0.563382 0.0748238 1.77342
45.5886 0.546702 -0.064861 1.828
45.6659 0.532823 -0.211221 1.86487
45.7429 0.521787 -0.361598 1.88207
45.8197 0.513624 -0.512949 1.87816
45.8963 0.508353 -0.661983 1.8524
45.9728 0.505983 -0.805343 1.80482
46.0492 0.506515 -0.939796 1.73624
46.1256 0.509943 -1.06243 1.64827
46.2021 0.516253 -1.17079 1.54316
46.2788 0.525427 -1.26304 1.42371
46.3556 0.537435 -1.33799 1.29303
46.4326 0.552239 -1.39513 1.1544
46.51 0.569787 -1.43457 1.01103
46.5876 0.590015 -1.45696 0.865949
46.6656 0.612842 -1.46339 0.721855
46.744 0.63817 -1.45527 0.581055
46.8228 0.665884 -1.43419 0.445422
46.9019 0.69585 -1.40183 0.316398
46.9814 0.727915 -1.35987 0.195023
47.0614 0.761909 -1.30993 0.0819758
47.1417 0.797641 -1.2535 -0.022368
47.2225 0.834905 -1.19193 -0.117881
47.3036 0.873478 -1.12641 -0.20463
47.3851 0.913121 -1.05799 -0.282826
47.467 0.953583 -0.987556 -0.352782
47.5492 0.994599 -0.915841 -0.414879
47.6318 1.0359 -0.843463 -0.469536
47.7148 1.07719 -0.770925 -0.517189
47.7981 1.1182 -0.69863 -0.558276
47.8817 1.15864 -0.6269 -0.59322
47.9656 1.1982 -0.555983 -0.622428
48.0498 1.2366 -0.486073 -0.646279
48.1343 1.27356 -0.417315 -0.665124
48.2191 1.30879 -0.349813 -0.679284
48.3042 1.34202 -0.283645 -0.689046
48.3895 1.373 -0.218861 -0.69467
48.475 1.40148 -0.155496 -0.696383
