# t x1 y1 x2 y2 x3 y3
4.47454 -0.805929 0.33636 -0.248329 -0.210298 1.05426 -0.126062
4.50319 -0.781859 0.343107 -0.277912 -0.230399 1.05977 -0.112708
4.53152 -0.756913 0.348688 -0.307648 -0.249208 1.06456 -0.0994801
4.55957 -0.731158 0.353029 -0.337514 -0.266649 1.06867 -0.0863797
4.58728 -0.704731 0.356054 -0.367401 -0.282619 1.07213 -0.0734347
4.61454 -0.677839 0.357709 -0.397129 -0.297014 1.07497 -0.060695
4.64126 -0.650708 0.357975 -0.426503 -0.309767 1.07721 -0.0482088
4.66739 -0.623516 0.356867 -0.455383 -0.32087 1.0789 -0.0359977
4.69297 -0.596363 0.354419 -0.48371 -0.330373 1.08007 -0.024046
4.71809 -0.569268 0.350664 -0.511502 -0.338356 1.08077 -0.0123079
4.74289 -0.542199 0.345621 -0.538818 -0.344901 1.08102 -0.000719934
4.76753 -0.51509 0.33929 -0.565737 -0.350079 1.08083 0.0107895
4.79215 -0.487861 0.33165 -0.592345 -0.353945 1.08021 0.0222947
4.81693 -0.460425 0.322662 -0.618717 -0.356532 1.07914 0.0338694
4.842 -0.432698 0.312268 -0.644918 -0.357854 1.07762 0.0455854
4.86751 -0.404605 0.300399 -0.670985 -0.357908 1.07559 0.0575087
4.89359 -0.376102 0.286987 -0.696921 -0.35668 1.07302 0.0696932
4.92029 -0.347195 0.271986 -0.722667 -0.354155 1.06986 0.0821697
4.94761 -0.317967 0.2554 -0.748092 -0.350334 1.06606 0.0949339
4.97548 -0.288571 0.237305 -0.773001 -0.345249 1.06157 0.107944
5.00376 -0.259185 0.217833 -0.797186 -0.338971 1.05637 0.121138
5.03237 -0.229938 0.197127 -0.820489 -0.331591 1.05043 0.134464
5.06128 -0.200872 0.175304 -0.84283 -0.323199 1.0437 0.147896
5.0905 -0.171943 0.152432 -0.86419 -0.313869 1.03613 0.161437
5.12014 -0.143054 0.12855 -0.884587 -0.303656 1.02764 0.175106
5.15027 -0.114079 0.103678 -0.904047 -0.292598 1.01813 0.188921
5.18098 -0.0848868 0.0778412 -0.922585 -0.280732 1.00747 0.202891
5.21234 -0.0553663 0.0511002 -0.940193 -0.268099 0.995559 0.216999
5.2443 -0.0254571 0.0235852 -0.956824 -0.254767 0.982281 0.231182
5.27675 0.00480761 -0.00445849 -0.972392 -0.240854 0.967584 0.245313
5.3094 0.0352801 -0.0326551 -0.986778 -0.226542 0.951498 0.259197
5.3419 0.0657432 -0.0605581 -0.99988 -0.212047 0.934137 0.272605
5.37395 0.0960111 -0.0877682 -1.01166 -0.197565 0.91565 0.285334
5.40536 0.125999 -0.114012 -1.02216 -0.183228 0.896166 0.29724
5.4361 0.15572 -0.139142 -1.03148 -0.169097 0.875763 0.308239
5.46619 0.185252 -0.163091 -1.03973 -0.155187 0.854475 0.318278
5.49572 0.214696 -0.185833 -1.04701 -0.141485 0.83231 0.327318
5.52478 0.244157 -0.207355 -1.05342 -0.127961 0.80926 0.335316
5.55347 0.27372 -0.227634 -1.05904 -0.114588 0.785316 0.342222
5.58185 0.303435 -0.24663 -1.06393 -0.101343 0.760491 0.347973
5.60995 0.333287 -0.26427 -1.06813 -0.0882233 0.734844 0.352493
5.6377 0.36318 -0.280455 -1.07168 -0.0752537 0.708501 0.355708
5.66504 0.392943 -0.295078 -1.0746 -0.0624816 0.681661 0.35756
5.69184 0.422378 -0.308064 -1.07693 -0.0499575 0.654551 0.358022
5.71805 0.451333 -0.319399 -1.07869 -0.0377076 0.62736 0.357106
5.7437 0.479739 -0.329124 -1.07994 -0.0257214 0.600198 0.354846
5.76888 0.507603 -0.337317 -1.0807 -0.0139567 0.573096 0.351273
5.79372 0.534982 -0.34406 -1.08101 -0.00235177 0.546026 0.346412
5.81837 0.561952 -0.349428 -1.08088 0.00916433 0.518928 0.340263
5.84299 0.588599 -0.353476 -1.08032 0.0206656 0.491721 0.332811
5.86773 0.615001 -0.356243 -1.07932 0.032226 0.46432 0.324017
5.89275 0.641222 -0.357743 -1.07786 0.0439179 0.436639 0.313826
5.91819 0.667308 -0.357978 -1.07591 0.0558082 0.408601 0.302169
5.94418 0.693264 -0.356932 -1.07342 0.0679533 0.380157 0.288979
5.97079 0.719043 -0.354591 -1.07035 0.0803878 0.351304 0.274203
5.99803 0.744523 -0.350952 -1.06664 0.0931131 0.322113 0.257839
6.02583 0.769518 -0.346042 -1.06225 0.106092 0.29273 0.23995
6.05406 0.793818 -0.339928 -1.05715 0.119264 0.263333 0.220664
6.08263 0.817252 -0.332698 -1.05131 0.132573 0.234062 0.200125
6.11149 0.839731 -0.324444 -1.0447 0.145991 0.204971 0.178454
6.14067 0.861229 -0.315243 -1.03726 0.159516 0.176028 0.155728
6.17024 0.881761 -0.305152 -1.0289 0.173165 0.14714 0.131987
6.20029 0.901352 -0.294212 -1.01954 0.186958 0.118185 0.107253
6.23092 0.92002 -0.282458 -1.00905 0.200907 0.0890316 0.0815508
6.26218 0.937761 -0.269929 -0.997324 0.214998 0.0595629 0.0549319
6.29407 0.954535 -0.25669 -0.984244 0.229176 0.0297092 0.0275144
6.32591 0.970004 -0.243088 -0.970004 0.243087 1.0208e-07 9.31925e-08
