# phi u x y
43.05 1 0.595991 -0.802991
43.15 1 0.673179 -0.73948
43.25 1 0.743641 -0.66858
43.35 1 0.806672 -0.590999
43.45 1 0.861644 -0.507514
43.55 1 0.908006 -0.418958
43.65 1 0.945295 -0.326215
43.75 1 0.97314 -0.230214
43.85 1 0.991261 -0.131912
43.95 1 0.999478 -0.0322915
44.05 1 0.997709 0.0676511
44.15 1 0.985971 0.166918
44.25 1 0.964381 0.264517
44.35 1 0.933156 0.359473
44.45 1 0.892606 0.450837
44.55 1 0.843138 0.537697
44.65 1 0.785246 0.619184
44.75 1 0.719508 0.694484
44.85 1 0.646581 0.762846
44.95 1 0.567193 0.823585
45.05 1 0.482138 0.876095
45.15 1 0.392266 0.919852
45.25 1 0.298474 0.954418
45.35 1 0.2017 0.979447
45.45 1 0.102911 0.994691
45.55 1 0.00309347 0.999995
45.65 1 -0.0967549 0.995308
45.75 1 -0.195637 0.980676
45.85 1 -0.292563 0.956246
45.95 1 -0.386567 0.922261
46.05 1 -0.476708 0.879061
46.15 1 -0.562087 0.827078
46.25 1 -0.641849 0.766831
46.35 1 -0.715197 0.698922
46.45 1 -0.7814 0.62403
46.55 1 -0.839796 0.542903
46.65 1 -0.8898 0.456351
46.75 1 -0.930914 0.365239
46.85 1 -0.962726 0.270478
46.95 1 -0.984919 0.173015
47.05 1 -0.997271 0.0738226
47.15 1 -0.999659 -0.0261072
47.25 1 -0.992059 -0.125776
47.35 1 -0.974546 -0.224188
47.45 1 -0.947296 -0.320361
47.55 1 -0.91058 -0.413332
47.65 1 -0.864767 -0.502173
47.75 1 -0.810313 -0.585997
47.85 1 -0.747763 -0.663966
47.95 1 -0.677741 -0.735301
48.05 1 -0.600948 -0.799288
48.15 1 -0.51815 -0.85529
48.25 1 -0.430175 -0.902746
48.35 1 -0.337901 -0.941182
48.45 1 -0.242252 -0.970213
48.55 1 -0.144182 -0.989551
48.65 1 -0.0446713 -0.999002
48.75 1 0.0552857 -0.998471
48.85 1 0.15469 -0.987963
48.95 1 0.252549 -0.967584
49.05 1 0.347885 -0.937537
49.15 1 0.439744 -0.898123
49.25 1 0.52721 -0.849735
49.35 1 0.609408 -0.792857
49.45 1 0.685517 -0.728056
49.55 1 0.754777 -0.655982
49.65 1 0.816495 -0.577353
49.75 1 0.870055 -0.492955
49.85 1 0.914922 -0.403631
49.95 1 0.950647 -0.310275
50.05 1 0.976873 -0.213819
50.15 1 0.993339 -0.115226
50.25 1 0.99988 -0.0154818
50.35 1 0.996431 0.084417
50.45 1 0.983025 0.183472
50.55 1 0.959797 0.280694
50.65 1 0.92698 0.375112
50.75 1 0.8849 0.465781
50.85 1 0.833978 0.551797
50.95 1 0.774724 0.632299
51.05 1 0.707729 0.706484
51.15 1 0.633663 0.773609
51.25 1 0.553265 0.833005
51.35 1 0.467339 0.884078
51.45 1 0.376744 0.926317
51.55 1 0.282384 0.959301
51.65 1 0.185203 0.9827
51.75 1 0.0861718 0.99628
51.85 1 -0.0137208 0.999906
51.95 1 -0.113476 0.993541
52.05 1 -0.212098 0.977248
52.15 1 -0.3086 0.951192
52.25 1 -0.402019 0.915631
52.35 1 -0.491422 0.870922
52.45 1 -0.575914 0.817511
52.55 1 -0.654651 0.755931
52.65 1 -0.726848 0.686798
52.75 1 -0.791782 0.610804
52.85 1 -0.848805 0.528706
52.95 1 -0.897347 0.441325
53.05 1 -0.936923 0.349535
53.15 1 -0.967138 0.254253
53.25 1 -0.987689 0.15643
53.35 1 -0.998372 0.0570441
53.45 1 -0.999079 -0.0429117
53.55 1 -0.989804 -0.142439
53.65 1 -0.970639 -0.240543
53.75 1 -0.941775 -0.336243
53.85 1 -0.903502 -0.428584
53.95 1 -0.856201 -0.516642
54.05 1 -0.800346 -0.599539
54.15 1 -0.736493 -0.676445
54.25 1 -0.665282 -0.746592
54.35 1 -0.587423 -0.80928
54.45 1 -0.503696 -0.863881
54.55 1 -0.414935 -0.909851
54.65 1 -0.322029 -0.94673
54.75 1 -0.225904 -0.974149
54.85 1 -0.127523 -0.991836
54.95 1 -0.0278678 -0.999612
55.05 1 0.072066 -0.9974
55.15 1 0.17128 -0.985222
55.25 1 0.268782 -0.963201
55.35 1 0.363599 -0.931556
55.45 1 0.454783 -0.890602
55.55 1 0.541423 -0.84075
55.65 1 0.622653 -0.782498
55.75 1 0.697662 -0.716427
55.85 1 0.7657 -0.643198
55.95 1 0.826087 -0.563542
56.05 1 0.87822 -0.478256
56.15 1 0.921579 -0.388191
