# phi u x y
20.8368 0.542727 -0.745278 1.68509
20.9136 0.559591 -0.846073 1.57404
20.9907 0.579132 -0.932238 1.45345
21.0681 0.601272 -1.0035 1.32628
21.1459 0.625917 -1.06006 1.19531
21.224 0.652955 -1.10251 1.063
21.3025 0.682255 -1.1317 0.931454
21.3814 0.713668 -1.1487 0.802423
21.4607 0.747026 -1.15466 0.677282
21.5403 0.782144 -1.15079 0.557074
21.6203 0.818818 -1.13827 0.442545
21.7007 0.856829 -1.11822 0.334189
21.7815 0.895941 -1.09171 0.232289
21.8626 0.935906 -1.05967 0.136966
21.9441 0.976463 -1.02297 0.0482079
22.0258 1.01734 -0.982363 -0.0340912
22.1079 1.05826 -0.93851 -0.110106
22.1903 1.09894 -0.891979 -0.180058
22.273 1.13908 -0.843256 -0.244196
22.356 1.1784 -0.792754 -0.302783
22.4392 1.21661 -0.740819 -0.356088
22.5227 1.25343 -0.687742 -0.404373
22.6064 1.28857 -0.633761 -0.447892
22.6903 1.32177 -0.579073 -0.486883
22.7744 1.35278 -0.523839 -0.521568
22.8586 1.38136 -0.468188 -0.552149
22.9431 1.40727 -0.412222 -0.578808
23.0277 1.43032 -0.356022 -0.601708
23.1124 1.45031 -0.299652 -0.620989
23.1972 1.4671 -0.243158 -0.636769
23.2821 1.48054 -0.186578 -0.649146
23.367 1.49053 -0.129938 -0.658198
23.4521 1.49698 -0.0732578 -0.663981
23.5371 1.49985 -0.0165541 -0.66653
23.6222 1.49909 0.0401607 -0.66586
23.7073 1.49473 0.096874 -0.661966
23.7923 1.48679 0.153572 -0.654822
23.8773 1.47534 0.210238 -0.644381
23.9623 1.46047 0.266848 -0.630574
24.0472 1.44229 0.323371 -0.613315
24.1319 1.42095 0.379768 -0.592492
24.2166 1.39662 0.435983 -0.567974
24.3012 1.36949 0.491946 -0.539607
24.3856 1.33978 0.547565 -0.507219
24.4698 1.30771 0.602728 -0.470612
24.5539 1.27354 0.657289 -0.429572
24.6377 1.23752 0.711073 -0.383863
24.7214 1.19993 0.76386 -0.333234
24.8048 1.16105 0.815388 -0.277421
24.888 1.12117 0.865336 -0.216152
24.9709 1.08059 0.913325 -0.149152
25.0535 1.03959 0.958902 -0.0761562
25.1358 0.998462 1.00154 0.00308084
25.2178 0.957502 1.0406 0.0887677
25.2995 0.916987 1.07539 0.181056
25.3809 0.877188 1.10508 0.280014
25.4619 0.838364 1.12875 0.385598
25.5426 0.800765 1.14538 0.497611
25.6229 0.764623 1.15386 0.615669
25.7028 0.730154 1.15299 0.739147
25.7824 0.69756 1.14157 0.867138
25.8615 0.66702 1.11839 0.99841
25.9403 0.638699 1.0823 1.13137
26.0187 0.612738 1.03233 1.26404
26.0967 0.589264 0.967731 1.39406
26.1744 0.56838 0.888128 1.51877
26.2517 0.550174 0.793581 1.63521
26.3287 0.534715 0.684686 1.74031
26.4054 0.522055 0.562633 1.83101
26.4819 0.512234 0.429218 1.90446
26.5581 0.505278 0.286806 1.95822
26.6342 0.501202 0.138241 1.99041
26.7102 0.500011 -0.013295 1.99991
26.7861 0.501705 -0.164459 1.98641
26.8621 0.506275 -0.311939 1.95043
26.9382 0.513705 -0.452641 1.89329
27.0144 0.523971 -0.58385 1.817
27.0909 0.537042 -0.703354 1.7241
27.1676 0.552873 -0.809516 1.61747
27.2446 0.571406 -0.901293 1.50014
27.3218 0.59257 -0.978211 1.37513
27.3995 0.616277 -1.0403 1.24529
