# z  qspline(z)  sin(z)  qspline'(z)  cos(z)  qspline_integ(z)  1-cos(z)
2.556 0.476956 0.552693 -0.765802 -0.833385 1.80983 1.83338
2.574 0.463178 0.537604 -0.765039 -0.843198 1.81829 1.8432
2.592 0.449414 0.52234 -0.764275 -0.852737 1.82651 1.85274
2.61 0.435664 0.506907 -0.763512 -0.862001 1.83447 1.862
2.628 0.421928 0.49131 -0.762749 -0.870985 1.84219 1.87099
2.646 0.408205 0.475553 -0.761985 -0.879687 1.84966 1.87969
2.664 0.394496 0.459643 -0.761222 -0.888104 1.85689 1.8881
2.682 0.380801 0.443583 -0.760458 -0.896233 1.86386 1.89623
2.7 0.36712 0.42738 -0.759695 -0.904072 1.87059 1.90407
2.718 0.353452 0.411038 -0.758931 -0.911618 1.87708 1.91162
2.736 0.339798 0.394563 -0.758168 -0.918869 1.88332 1.91887
2.754 0.326158 0.377961 -0.757404 -0.925822 1.88931 1.92582
2.772 0.312532 0.361236 -0.756641 -0.932475 1.89506 1.93247
2.79 0.298919 0.344393 -0.755878 -0.938825 1.90056 1.93883
2.808 0.28532 0.32744 -0.755114 -0.944872 1.90582 1.94487
2.826 0.271735 0.31038 -0.754351 -0.950613 1.91083 1.95061
2.844 0.258164 0.29322 -0.753587 -0.956045 1.9156 1.95605
2.862 0.244606 0.275964 -0.752824 -0.961168 1.92013 1.96117
2.88 0.231062 0.258619 -0.75206 -0.965979 1.92441 1.96598
2.898 0.217532 0.241191 -0.751297 -0.970478 1.92845 1.97048
2.916 0.204015 0.223684 -0.750534 -0.974662 1.93224 1.97466
2.934 0.190512 0.206105 -0.74977 -0.97853 1.93579 1.97853
2.952 0.177023 0.188459 -0.749007 -0.982081 1.9391 1.98208
2.97 0.163548 0.170752 -0.748243 -0.985314 1.94216 1.98531
2.988 0.150087 0.152989 -0.74748 -0.988228 1.94499 1.98823
3.006 0.136633 0.135178 -0.748782 -0.990821 1.94757 1.99082
3.024 0.123106 0.117322 -0.754217 -0.993094 1.94991 1.99309
3.042 0.109481 0.0994281 -0.759651 -0.995045 1.952 1.99504
3.06 0.0957583 0.0815022 -0.765085 -0.996673 1.95385 1.99667
3.078 0.0819379 0.0635498 -0.770519 -0.997979 1.95545 1.99798
3.096 0.0680196 0.0455769 -0.775954 -0.998961 1.9568 1.99896
3.114 0.0540036 0.0275892 -0.781388 -0.999619 1.95789 1.99962
3.132 0.0398897 0.00959251 -0.786822 -0.999954 1.95874 1.99995
3.15 0.025678 -0.00840725 -0.792256 -0.999965 1.95933 1.99996
3.168 0.0113684 -0.0264043 -0.797691 -0.999651 1.95966 1.99965
3.186 -0.0030389 -0.0443928 -0.803125 -0.999014 1.95974 1.99901
3.204 -0.0175441 -0.0623668 -0.808559 -0.998053 1.95955 1.99805
3.222 -0.032147 -0.0803207 -0.813993 -0.996769 1.95911 1.99677
3.24 -0.0468478 -0.0982486 -0.819428 -0.995162 1.9584 1.99516
3.258 -0.0616464 -0.116145 -0.824862 -0.993232 1.95742 1.99323
3.276 -0.0765428 -0.134003 -0.830296 -0.990981 1.95618 1.99098
3.294 -0.0915371 -0.151818 -0.83573 -0.988408 1.95466 1.98841
3.312 -0.106629 -0.169584 -0.841165 -0.985516 1.95288 1.98552
3.33 -0.121819 -0.187295 -0.846599 -0.982304 1.95082 1.9823
3.348 -0.137107 -0.204945 -0.852033 -0.978774 1.94849 1.97877
3.366 -0.152492 -0.222529 -0.857467 -0.974926 1.94589 1.97493
3.384 -0.167976 -0.24004 -0.862902 -0.970763 1.943 1.97076
3.402 -0.183557 -0.257474 -0.868336 -0.966285 1.93984 1.96629
3.42 -0.199236 -0.274825 -0.87377 -0.961494 1.93639 1.96149
3.438 -0.215012 -0.292086 -0.879205 -0.956392 1.93267 1.95639
