# z   linterp(z)   cos(z)   linterp_integ(z)   sin(z)
3.258 -0.903214 -0.993232 -0.115064 -0.116145
3.276 -0.89716 -0.990981 -0.131268 -0.134003
3.294 -0.891106 -0.988408 -0.147362 -0.151818
3.312 -0.885052 -0.985516 -0.163348 -0.169584
3.33 -0.878997 -0.982304 -0.179224 -0.187295
3.348 -0.872943 -0.978774 -0.194992 -0.204945
3.366 -0.866889 -0.974926 -0.21065 -0.222529
3.384 -0.860835 -0.970763 -0.2262 -0.24004
3.402 -0.85478 -0.966285 -0.24164 -0.257474
3.42 -0.848726 -0.961494 -0.256972 -0.274825
3.438 -0.842672 -0.956392 -0.272194 -0.292086
3.456 -0.836617 -0.95098 -0.287308 -0.309253
3.474 -0.830563 -0.94526 -0.302312 -0.32632
3.492 -0.824509 -0.939233 -0.317208 -0.34328
3.51 -0.818455 -0.932902 -0.331995 -0.36013
3.528 -0.8124 -0.926269 -0.346672 -0.376863
3.546 -0.806346 -0.919336 -0.361241 -0.393474
3.564 -0.800292 -0.912105 -0.375701 -0.409957
3.582 -0.794237 -0.904578 -0.390052 -0.426308
3.6 -0.788183 -0.896758 -0.404293 -0.44252
3.618 -0.782129 -0.888648 -0.418426 -0.45859
3.636 -0.776075 -0.88025 -0.43245 -0.47451
3.654 -0.77002 -0.871567 -0.446365 -0.490277
3.672 -0.763966 -0.862601 -0.460171 -0.505885
3.69 -0.757912 -0.853356 -0.473868 -0.521329
3.708 -0.751857 -0.843834 -0.487456 -0.536604
3.726 -0.745803 -0.834039 -0.500935 -0.551705
3.744 -0.739749 -0.823974 -0.514305 -0.566628
3.762 -0.733695 -0.813642 -0.527566 -0.581367
3.78 -0.72764 -0.803046 -0.540718 -0.595917
3.798 -0.721586 -0.79219 -0.553761 -0.610275
3.816 -0.715532 -0.781077 -0.566695 -0.624435
3.834 -0.709478 -0.769711 -0.57952 -0.638392
3.852 -0.703423 -0.758096 -0.592236 -0.652143
3.87 -0.697369 -0.746236 -0.604843 -0.665682
3.888 -0.691315 -0.734133 -0.617341 -0.679006
3.906 -0.68526 -0.721793 -0.62973 -0.692109
3.924 -0.679206 -0.709218 -0.642011 -0.704989
3.942 -0.673152 -0.696414 -0.654182 -0.71764
3.96 -0.667098 -0.683385 -0.666244 -0.730058
3.978 -0.661043 -0.670134 -0.678197 -0.74224
3.996 -0.654989 -0.656666 -0.690042 -0.754182
4.014 -0.640521 -0.642985 -0.701718 -0.765879
4.032 -0.62365 -0.629095 -0.713096 -0.777328
4.05 -0.606778 -0.615002 -0.724169 -0.788525
4.068 -0.589907 -0.60071 -0.73494 -0.799467
4.086 -0.573035 -0.586223 -0.745406 -0.81015
4.104 -0.556164 -0.571546 -0.755569 -0.82057
4.122 -0.539292 -0.556684 -0.765428 -0.830724
4.14 -0.522421 -0.541642 -0.774983 -0.840609
4.158 -0.505549 -0.526424 -0.784235 -0.850222
4.176 -0.488678 -0.511035 -0.793183 -0.85956
4.194 -0.471806 -0.495481 -0.801827 -0.868619
4.212 -0.454935 -0.479767 -0.810168 -0.877396
4.23 -0.438063 -0.463897 -0.818205 -0.885889
4.248 -0.421192 -0.447877 -0.825938 -0.894095
4.266 -0.40432 -0.431711 -0.833368 -0.902012
4.284 -0.387449 -0.415406 -0.840494 -0.909636
4.302 -0.370577 -0.398966 -0.847316 -0.916966
4.32 -0.353706 -0.382397 -0.853835 -0.923998
4.338 -0.336834 -0.365704 -0.86005 -0.930731
4.356 -0.319963 -0.348892 -0.865961 -0.937163
4.374 -0.303091 -0.331968 -0.871568 -0.943291
4.392 -0.28622 -0.314936 -0.876872 -0.949113
4.41 -0.269348 -0.297802 -0.881872 -0.954628
4.428 -0.252477 -0.280571 -0.886569 -0.959833
4.446 -0.235605 -0.26325 -0.890961 -0.964728
4.464 -0.218734 -0.245843 -0.89505 -0.96931
4.482 -0.201862 -0.228356 -0.898836 -0.973578
4.5 -0.184991 -0.210796 -0.902317 -0.97753
4.518 -0.168119 -0.193167 -0.905495 -0.981166
4.536 -0.151248 -0.175476 -0.90837 -0.984484
4.554 -0.134376 -0.157728 -0.91094 -0.987483
4.572 -0.117505 -0.139928 -0.913207 -0.990162
4.59 -0.100633 -0.122084 -0.91517 -0.99252
4.608 -0.0837617 -0.104199 -0.91683 -0.994556
4.626 -0.0668902 -0.0862816 -0.918186 -0.996271
4.644 -0.0500187 -0.0683357 -0.919238 -0.997662
4.662 -0.0331472 -0.0503677 -0.919987 -0.998731
4.68 -0.0162757 -0.0323833 -0.920431 -0.999476
4.698 0.000595832 -0.0143885 -0.920573 -0.999896
4.716 0.0174673 0.00361101 -0.92041 -0.999993
4.734 0.0343388 0.0216093 -0.919944 -0.999766
4.752 0.0512103 0.0396007 -0.919174 -0.999216
4.77 0.0680819 0.0575792 -0.9181 -0.998341
4.788 0.0849534 0.075539 -0.916723 -0.997143
4.806 0.101825 0.0934744 -0.915042 -0.995622
4.824 0.118696 0.111379 -0.913057 -0.993778
4.842 0.135568 0.129248 -0.910769 -0.991612
4.86 0.152439 0.147076 -0.908177 -0.989125
4.878 0.169311 0.164855 -0.905281 -0.986318
4.896 0.186182 0.182581 -0.902081 -0.983191
4.914 0.203054 0.200248 -0.898578 -0.979745
4.932 0.219925 0.21785 -0.894772 -0.975982
4.95 0.236797 0.235381 -0.890661 -0.971903
4.968 0.253668 0.252837 -0.886247 -0.967509
4.986 0.27054 0.27021 -0.881529 -0.962801
5.004 0.286368 0.287496 -0.876509 -0.957782
5.022 0.298545 0.304688 -0.871245 -0.952452
5.04 0.310723 0.321782 -0.865762 -0.946814
5.058 0.3229 0.338772 -0.860059 -0.940869
5.076 0.335077 0.355651 -0.854137 -0.934619
5.094 0.347254 0.372416 -0.847996 -0.928066
5.112 0.359431 0.38906 -0.841636 -0.921212
5.13 0.371608 0.405578 -0.835057 -0.91406
5.148 0.383785 0.421964 -0.828258 -0.906612
5.166 0.395963 0.438214 -0.821241 -0.898871
5.184 0.40814 0.454322 -0.814004 -0.890838
5.202 0.420317 0.470283 -0.806548 -0.882516
5.22 0.432494 0.486091 -0.798872 -0.873908
5.238 0.444671 0.501742 -0.790978 -0.865018
5.256 0.456848 0.51723 -0.782864 -0.855847
5.274 0.469025 0.53255 -0.774531 -0.846398
5.292 0.481203 0.547699 -0.765979 -0.836676
5.31 0.49338 0.562669 -0.757208 -0.826682
5.328 0.505557 0.577457 -0.748218 -0.816421
5.346 0.517734 0.592059 -0.739008 -0.805895
5.364 0.529911 0.606468 -0.729579 -0.795108
5.382 0.542088 0.620681 -0.719931 -0.784063
5.4 0.554265 0.634693 -0.710064 -0.772764
5.418 0.566443 0.648499 -0.699978 -0.761215
5.436 0.57862 0.662095 -0.689672 -0.74942
5.454 0.590797 0.675477 -0.679147 -0.737381
5.472 0.602974 0.688639 -0.668403 -0.725104
5.49 0.615151 0.701579 -0.65744 -0.712592
5.508 0.627328 0.714291 -0.646258 -0.699848
5.526 0.639505 0.726772 -0.634856 -0.686879
5.544 0.651683 0.739018 -0.623236 -0.673686
5.562 0.66386 0.751024 -0.611396 -0.660275
5.58 0.676037 0.762786 -0.599337 -0.646651
5.598 0.688214 0.774302 -0.587059 -0.632817
5.616 0.700391 0.785566 -0.574561 -0.618777
5.634 0.712568 0.796577 -0.561844 -0.604538
5.652 0.724745 0.807329 -0.548909 -0.590102
5.67 0.736923 0.817819 -0.535754 -0.575475
5.688 0.7491 0.828045 -0.522379 -0.560662
5.706 0.761277 0.838002 -0.508786 -0.545667
5.724 0.773454 0.847688 -0.494973 -0.530496
5.742 0.785631 0.857099 -0.480942 -0.515152
5.76 0.797808 0.866232 -0.466691 -0.499642
5.778 0.809985 0.875085 -0.452221 -0.48397
5.796 0.822163 0.883654 -0.437531 -0.468141
5.814 0.83434 0.891937 -0.422623 -0.45216
5.832 0.846517 0.899931 -0.407495 -0.436033
5.85 0.858694 0.907633 -0.392148 -0.419764
5.868 0.870871 0.915042 -0.376582 -0.40336
5.886 0.883048 0.922153 -0.360797 -0.386824
5.904 0.895226 0.928967 -0.344792 -0.370164
5.922 0.907403 0.935479 -0.328569 -0.353383
5.94 0.91958 0.941688 -0.312126 -0.336488
5.958 0.931757 0.947592 -0.295464 -0.319484
5.976 0.943934 0.953188 -0.278583 -0.302377
5.994 0.956111 0.958477 -0.261482 -0.285171
6.012 0.957695 0.963454 -0.244226 -0.267874
6.03 0.953982 0.968119 -0.227021 -0.250489
6.048 0.950269 0.972471 -0.209883 -0.233023
6.066 0.946557 0.976508 -0.192811 -0.215482
6.084 0.942844 0.980228 -0.175807 -0.197871
6.102 0.939131 0.983631 -0.158869 -0.180196
6.12 0.935418 0.986715 -0.141998 -0.162462
6.138 0.931705 0.989479 -0.125194 -0.144676
6.156 0.927992 0.991923 -0.108457 -0.126843
6.174 0.92428 0.994045 -0.0917862 -0.108968
6.192 0.920567 0.995845 -0.0751826 -0.091059
6.21 0.916854 0.997323 -0.0586458 -0.07312
6.228 0.913141 0.998478 -0.0421758 -0.0551573
6.246 0.909428 0.999309 -0.0257727 -0.0371767
6.264 0.905716 0.999816 -0.00943639 -0.0191841
6.282 0.902003 0.999999 0.00683307 -0.00118531
6.3 0.89829 0.999859 0.0230357 0.0168139
6.318 0.894577 0.999394 0.0391715 0.0348077
6.336 0.890864 0.998606 0.0552405 0.0527901
6.354 0.887151 0.997494 0.0712426 0.0707555
6.372 0.883439 0.996059 0.0871779 0.088698
6.39 0.879726 0.994301 0.103046 0.106612
6.408 0.876013 0.992221 0.118848 0.124491
6.426 0.8723 0.989819 0.134583 0.14233
6.444 0.868587 0.987097 0.150251 0.160122
6.462 0.864874 0.984055 0.165852 0.177863
6.48 0.861162 0.980694 0.181386 0.195547
6.498 0.857449 0.977016 0.196854 0.213166
6.516 0.853736 0.973021 0.212254 0.230717
6.534 0.850023 0.968711 0.227588 0.248193
6.552 0.84631 0.964086 0.242855 0.265589
6.57 0.842598 0.95915 0.258056 0.282898
6.588 0.838885 0.953903 0.273189 0.300116
6.606 0.835172 0.948346 0.288255 0.317237
6.624 0.831459 0.942483 0.303255 0.334255
6.642 0.827746 0.936314 0.318188 0.351165
6.66 0.824033 0.929841 0.333054 0.367961
6.678 0.820321 0.923068 0.347853 0.384637
6.696 0.816608 0.915995 0.362585 0.401189
6.714 0.812895 0.908626 0.377251 0.417611
6.732 0.809182 0.900962 0.39185 0.433898
6.75 0.805469 0.893006 0.406382 0.450044
6.768 0.801756 0.884761 0.420847 0.466044
6.786 0.798044 0.87623 0.435245 0.481894
6.804 0.794331 0.867414 0.449576 0.497587
6.822 0.790618 0.858317 0.463841 0.513119
6.84 0.786905 0.848943 0.478038 0.528485
6.858 0.783192 0.839293 0.492169 0.543679
6.876 0.779479 0.829371 0.506233 0.558698
6.894 0.775767 0.819181 0.52023 0.573535
6.912 0.772054 0.808725 0.534161 0.588187
6.93 0.768341 0.798007 0.548024 0.602648
6.948 0.764628 0.787031 0.561821 0.616913
6.966 0.760915 0.7758 0.575551 0.630979
6.984 0.757203 0.764317 0.589214 0.644841
7.002 0.752103 0.752587 0.602809 0.658493
7.02 0.735914 0.740613 0.616201 0.671932
7.038 0.719725 0.728399 0.629302 0.685154
7.056 0.703536 0.715948 0.642111 0.698153
7.074 0.687346 0.703266 0.654629 0.710926
7.092 0.671157 0.690356 0.666856 0.723469
7.11 0.654968 0.677223 0.678791 0.735778
7.128 0.638779 0.66387 0.690435 0.747848
7.146 0.62259 0.650302 0.701787 0.759676
7.164 0.6064 0.636523 0.712848 0.771258
7.182 0.590211 0.622538 0.723617 0.78259
7.2 0.574022 0.608351 0.734095 0.793668
7.218 0.557833 0.593968 0.744282 0.804489
7.236 0.541643 0.579391 0.754177 0.81505
7.254 0.525454 0.564627 0.763781 0.825346
7.272 0.509265 0.54968 0.773094 0.835375
7.29 0.493076 0.534555 0.782115 0.845133
7.308 0.476886 0.519257 0.790844 0.854618
7.326 0.460697 0.503791 0.799283 0.863826
7.344 0.444508 0.488161 0.807429 0.872753
7.362 0.428319 0.472373 0.815285 0.881399
7.38 0.412129 0.456433 0.822849 0.889758
7.398 0.39594 0.440344 0.830122 0.897829
7.416 0.379751 0.424112 0.837103 0.90561
7.434 0.363562 0.407744 0.843793 0.913096
7.452 0.347372 0.391243 0.850191 0.920288
7.47 0.331183 0.374615 0.856298 0.92718
7.488 0.314994 0.357866 0.862114 0.933773
7.506 0.298805 0.341001 0.867638 0.940063
7.524 0.282615 0.324026 0.872871 0.946048
7.542 0.266426 0.306945 0.877812 0.951727
7.56 0.250237 0.289765 0.882462 0.957098
7.578 0.234048 0.272492 0.88682 0.962158
7.596 0.217858 0.25513 0.890888 0.966907
7.614 0.201669 0.237685 0.894663 0.971342
7.632 0.18548 0.220163 0.898148 0.975463
7.65 0.169291 0.20257 0.901341 0.979268
7.668 0.153102 0.184911 0.904242 0.982755
7.686 0.136912 0.167193 0.906852 0.985924
7.704 0.120723 0.14942 0.909171 0.988774
7.722 0.104534 0.131599 0.911198 0.991303
7.74 0.0883446 0.113735 0.912934 0.993511
7.758 0.0721553 0.0958343 0.914379 0.995397
7.776 0.0559661 0.0779026 0.915532 0.996961
7.794 0.0397768 0.0599457 0.916394 0.998202
7.812 0.0235876 0.0419693 0.916964 0.999119
7.83 0.00739836 0.0239793 0.917243 0.999712
7.848 -0.00879089 0.0059816 0.91723 0.999982
7.866 -0.0249801 -0.0120181 0.916926 0.999928
7.884 -0.0411694 -0.0300139 0.916331 0.999549
