# x J0_contour J0_ref J1_contour J1_ref J2_contour J2_ref
9.3 -0.157655 -0.157655 0.200414 0.200414 0.200755 0.200755
9.36 -0.169351 -0.169351 0.189347 0.189347 0.20981 0.20981
9.42 -0.180365 -0.180365 0.177679 0.177679 0.218089 0.218089
9.48 -0.190661 -0.190661 0.165455 0.165455 0.225568 0.225568
9.54 -0.200209 -0.200209 0.152721 0.152721 0.232226 0.232226
9.6 -0.208979 -0.208979 0.139525 0.139525 0.238046 0.238046
9.66 -0.216944 -0.216944 0.125916 0.125916 0.243013 0.243013
9.72 -0.224081 -0.224081 0.111944 0.111944 0.247115 0.247115
9.78 -0.230371 -0.230371 0.0976613 0.0976613 0.250343 0.250343
9.84 -0.235796 -0.235796 0.0831189 0.0831189 0.25269 0.25269
9.9 -0.240341 -0.240341 0.0683698 0.0683698 0.254153 0.254153
9.96 -0.243997 -0.243997 0.053467 0.053467 0.254733 0.254733
10.02 -0.246755 -0.246755 0.0384638 0.0384638 0.254433 0.254433
10.08 -0.248612 -0.248612 0.0234135 0.0234135 0.253257 0.253257
10.14 -0.249565 -0.249565 0.00836939 0.00836939 0.251216 0.251216
10.2 -0.249617 -0.249617 -0.00661574 -0.00661574 0.24832 0.24832
10.26 -0.248773 -0.248773 -0.0214895 -0.0214895 0.244584 0.244584
10.32 -0.247042 -0.247042 -0.0362001 -0.0362001 0.240026 0.240026
10.38 -0.244433 -0.244433 -0.0506967 -0.0506967 0.234665 0.234665
10.44 -0.240963 -0.240963 -0.0649296 -0.0649296 0.228525 0.228525
10.5 -0.236648 -0.236648 -0.07885 -0.07885 0.221629 0.221629
10.56 -0.231508 -0.231508 -0.0924107 -0.0924107 0.214006 0.214006
10.62 -0.225567 -0.225567 -0.105566 -0.105566 0.205686 0.205686
10.68 -0.21885 -0.21885 -0.118272 -0.118272 0.196701 0.196701
10.74 -0.211384 -0.211384 -0.130485 -0.130485 0.187085 0.187085
10.8 -0.203202 -0.203202 -0.142167 -0.142167 0.176875 0.176875
10.86 -0.194336 -0.194336 -0.153277 -0.153277 0.166108 0.166108
10.92 -0.184821 -0.184821 -0.163782 -0.163782 0.154824 0.154824
10.98 -0.174695 -0.174695 -0.173645 -0.173645 0.143065 0.143065
11.04 -0.163997 -0.163997 -0.182837 -0.182837 0.130874 0.130874
11.1 -0.152768 -0.152768 -0.191328 -0.191328 0.118295 0.118295
11.16 -0.141052 -0.141052 -0.199093 -0.199093 0.105372 0.105372
11.22 -0.128892 -0.128892 -0.206106 -0.206106 0.0921531 0.0921531
