# z erf_numeric erf_reference abs_error est_error evaluations status
-1.1000000000000028 -0.88020507623083077 -0.88020506957408262 6.6567481527002315e-09 4.6959648362650041e-09 1256 success
-1.0500000000000027 -0.86243611619227956 -0.86243610609009769 1.0102181868809623e-08 4.5842237590934538e-09 1312 success
-1.0000000000000027 -0.84270080821109183 -0.842700792949716 1.526137582974485e-08 4.8250365046779887e-09 1352 success
-0.95000000000000262 -0.82089080727561037 -0.82089080727327912 2.3312463071079037e-12 6.8738072987081737e-09 1072 success
-0.90000000000000258 -0.79690821242468468 -0.79690821242283338 1.8512968935624485e-12 7.6668913776863433e-09 880 success
-0.85000000000000253 -0.77066805762132395 -0.77066805760835388 1.2970069462880929e-11 7.2365309463972338e-09 844 success
-0.80000000000000249 -0.74210096470917708 -0.74210096470766196 1.5151213617059511e-12 6.2234432584275853e-09 848 success
-0.75000000000000244 -0.71115563365473267 -0.71115563365351675 1.2159162565694714e-12 5.7496264505977722e-09 848 success
-0.7000000000000024 -0.67780119383781112 -0.6778011938374201 3.9102054927298013e-13 5.2974401292302475e-09 860 success
-0.65000000000000235 -0.64202932735565743 -0.64202932735567364 1.6209256159527285e-14 5.1938695979142548e-09 856 success
-0.60000000000000231 -0.6038560908478765 -0.6038560908479278 5.1292303737682232e-14 5.5940308277885853e-09 820 success
-0.55000000000000226 -0.56332336632501612 -0.56332336632511082 9.4702024000525853e-14 6.6093735467678197e-09 732 success
-0.50000000000000222 -0.52049987781287743 -0.52049987781304852 1.7108536809473662e-13 8.4660360361340229e-09 512 success
-0.45000000000000223 -0.47548171978681586 -0.47548171978692572 1.0985656828665924e-13 6.4072823881986694e-09 512 success
-0.40000000000000224 -0.42839235504660489 -0.42839235504667061 6.5725203057809267e-14 4.6625251778123782e-09 512 success
-0.35000000000000225 -0.37938205356227656 -0.37938205356231258 3.602673714908633e-14 3.2276235559054359e-09 512 success
-0.30000000000000226 -0.32862675945902109 -0.32862675945912978 1.0869083411080283e-13 7.0811565020454043e-09 408 success
-0.25000000000000228 -0.27632639016812072 -0.27632639016823934 1.1862733018119798e-13 7.0315741918524567e-09 256 success
-0.20000000000000229 -0.22270258921044056 -0.22270258921048092 4.035660694512444e-14 3.6785420684567286e-09 256 success
-0.1500000000000023 -0.16799597142720812 -0.16799597142736603 1.5790146967731289e-13 8.9297731677153343e-09 128 success
-0.1000000000000023 -0.11246291601826622 -0.11246291601828745 2.1233015345956119e-14 2.6786926285912878e-09 128 success
-0.050000000000002293 -0.05637197779684721 -0.056371977797019204 1.7199436319614847e-13 1.0795083260855165e-08 32 success
-2.2898349882893854e-15 -2.5838020968721396e-15 -2.5838020968721396e-15 0 0 4 success
0.049999999999997713 0.056371977796842054 0.056371977797014049 1.7199436319614847e-13 1.0795083260507961e-08 32 success
0.099999999999997716 0.11246291601826111 0.11246291601828234 2.1233015345956119e-14 2.6786926285084626e-09 128 success
0.14999999999999772 0.1679959714272031 0.16799597142736097 1.5787371410169726e-13 8.9297731692652507e-09 128 success
0.19999999999999774 0.22270258921043562 0.222702589210476 4.0384362520740069e-14 3.678542067765917e-09 256 success
0.24999999999999772 0.27632639016811589 0.27632639016823451 1.1862733018119798e-13 7.0315741921949111e-09 256 success
0.29999999999999771 0.32862675945901648 0.32862675945912506 1.0857981180834031e-13 7.0811565027807679e-09 408 success
0.3499999999999977 0.37938205356227206 0.37938205356230803 3.5971225997855072e-14 3.2276235564024201e-09 512 success
0.39999999999999769 0.4283923550466005 0.42839235504666623 6.5725203057809267e-14 4.6625251777002895e-09 512 success
0.44999999999999768 0.47548171978681159 0.47548171978692155 1.0996759058912176e-13 6.4072823877261664e-09 512 success
0.49999999999999767 0.52049987781287343 0.52049987781304452 1.7108536809473662e-13 8.4660360349719996e-09 512 success
0.54999999999999771 0.56332336632501234 0.56332336632510704 9.4702024000525853e-14 6.6093735471640475e-09 732 success
0.59999999999999776 0.60385609084787295 0.60385609084792413 5.1181281435219717e-14 5.5940308276766454e-09 820 success
0.6499999999999978 0.6420293273556541 0.6420293273556702 1.609823385706477e-14 5.1938695982242474e-09 856 success
0.69999999999999785 0.67780119383780801 0.67780119383741699 3.9102054927298013e-13 5.2974401299406897e-09 860 success
0.74999999999999789 0.71115563365472967 0.71115563365351375 1.2159162565694714e-12 5.7496264501053549e-09 848 success
0.79999999999999793 0.74210096470917453 0.74210096470765929 1.5152323840084136e-12 6.2234432584107216e-09 848 success
0.84999999999999798 0.7706680576213214 0.77066805760835144 1.2969958440578466e-11 7.2365309457357581e-09 844 success
0.89999999999999802 0.79690821242468246 0.79690821242283116 1.8512968935624485e-12 7.6668913779586875e-09 880 success
0.94999999999999807 0.82089080727560837 0.82089080727327701 2.3313573294103662e-12 6.8738072990069215e-09 1072 success
0.99999999999999811 0.84270079295188394 0.84270079294971412 2.1698198793274059e-12 6.1199262943999592e-09 1200 success
1.049999999999998 0.86243611619227778 0.86243610609009602 1.0102181757787321e-08 4.5842237592070133e-09 1312 success
1.0999999999999981 0.88020507623082911 0.88020506957408107 6.656748041677929e-09 4.6959648362233291e-09 1256 success
1.1499999999999981 0.89612384730172512 0.89612384293691449 4.364810624046811e-09 4.696240389150542e-09 1196 success
1.1999999999999982 0.91031398112555695 0.91031397822963489 2.8959220577107203e-09 5.3907423332752152e-09 1084 success
1.2499999999999982 0.92290013012723615 0.92290012825645773 1.870778421064756e-09 6.3108297115395903e-09 896 success
1.2999999999999983 0.93400794663830911 0.93400794494065209 1.6976570149651593e-09 5.6743799700606291e-09 856 success
1.3499999999999983 0.9437621971537401 0.94376219612272372 1.031016383379324e-09 5.6756123044353039e-09 820 success
1.3999999999999984 0.95228512044404856 0.95228511976264851 6.814000474975046e-10 5.162684017055627e-09 764 success
1.4499999999999984 0.95969502610326074 0.95969502563745901 4.6580173052035434e-10 5.6643498076403382e-09 660 success
1.4999999999999984 0.96610514677799941 0.96610514647531054 3.0268887396545097e-10 4.8113493664652383e-09 652 success
1.5499999999999985 0.97162273346652728 0.97162273326201243 2.0451484950001486e-10 4.345411409195708e-09 632 success
1.5999999999999985 0.97634838348993613 0.97634838334464391 1.4529222269743514e-10 4.2301365492310423e-09 604 success
1.6499999999999986 0.98037558524223933 0.9803755850233602 2.1887913703722006e-10 4.751835144489564e-09 564 success
1.6999999999999986 0.98379045882439375 0.98379045859077452 2.3361923506826088e-10 5.2673401141720864e-09 500 success
1.7499999999999987 0.98667167234806286 0.98667167121918242 1.1288804335762848e-09 5.6099032645297799e-09 452 success
1.7999999999999987 0.98909050247149788 0.98909050163573065 8.3576723319822577e-10 5.195581535999555e-09 420 success
1.8499999999999988 0.991111030606599 0.9911110300560857 5.5051330161148826e-10 4.9289325040015282e-09 388 success
1.8999999999999988 0.99279042970555154 0.9927904292352574 4.7029413696719757e-10 6.1976993297283e-09 308 success
1.9499999999999988 0.99417933392004121 0.99417933359218913 3.2785207881858014e-10 5.0172196173337352e-09 304 success
1.9999999999999989 0.99532226525079304 0.99532226501895271 2.3184032471590399e-10 4.9324061118607297e-09 288 success
